"city_name","total_sales","estimated_rent","total_customer","estimated_coffee_consumer"
"Pune","1258290","15300","52","1875000"
"Chennai","944120","17100","42","2775000"
"Bangalore","860110","29700","39","3075000"
"Jaipur","803450","10800","69","1000000"
"Delhi","750420","22500","68","7750000"
"Mumbai","235000","31500","27","5100000"
"Kanpur","213550","8100","35","775000"
"Surat","176540","13500","27","1800000"
"Kolkata","171460","16200","28","3725000"
"Nagpur","140050","7200","24","725000"
"Indore","138590","6300","21","825000"
"Ahmedabad","137690","14400","23","2075000"
"Hyderabad","131520","22500","21","2500000"
"Lucknow","109400","9000","21","950000"
