"city_name","city_population","estimated_coffee_consumer","actual_customer"
"Delhi","31000000","7750000","68"
"Mumbai","20400000","5100000","27"
"Kolkata","14900000","3725000","28"
"Bangalore","12300000","3075000","39"
"Chennai","11100000","2775000","42"
"Hyderabad","10000000","2500000","21"
"Ahmedabad","8300000","2075000","23"
"Pune","7500000","1875000","52"
"Surat","7200000","1800000","27"
"Jaipur","4000000","1000000","69"
"Lucknow","3800000","950000","21"
"Indore","3300000","825000","21"
"Kanpur","3100000","775000","35"
"Nagpur","2900000","725000","24"
