"city_name","month","monthly_sales","prev_month_sales","growth_percent"
"Ahmedabad","2023-01-01 00:00:00+05:45","3750",NULL,NULL
"Ahmedabad","2023-02-01 00:00:00+05:45","4100","3750","9.33"
"Ahmedabad","2023-03-01 00:00:00+05:45","3050","4100","-25.61"
"Ahmedabad","2023-04-01 00:00:00+05:45","4040","3050","32.46"
"Ahmedabad","2023-05-01 00:00:00+05:45","2550","4040","-36.88"
"Ahmedabad","2023-06-01 00:00:00+05:45","2900","2550","13.73"
"Ahmedabad","2023-07-01 00:00:00+05:45","2800","2900","-3.45"
"Ahmedabad","2023-08-01 00:00:00+05:45","4300","2800","53.57"
"Ahmedabad","2023-09-01 00:00:00+05:45","8250","4300","91.86"
"Ahmedabad","2023-10-01 00:00:00+05:45","10950","8250","32.73"
"Ahmedabad","2023-11-01 00:00:00+05:45","21250","10950","94.06"
"Ahmedabad","2023-12-01 00:00:00+05:45","11360","21250","-46.54"
"Ahmedabad","2024-01-01 00:00:00+05:45","12090","11360","6.43"
"Ahmedabad","2024-02-01 00:00:00+05:45","10900","12090","-9.84"
"Ahmedabad","2024-03-01 00:00:00+05:45","14000","10900","28.44"
"Ahmedabad","2024-04-01 00:00:00+05:45","3950","14000","-71.79"
"Ahmedabad","2024-05-01 00:00:00+05:45","5250","3950","32.91"
"Ahmedabad","2024-06-01 00:00:00+05:45","3300","5250","-37.14"
"Ahmedabad","2024-07-01 00:00:00+05:45","2700","3300","-18.18"
"Ahmedabad","2024-08-01 00:00:00+05:45","3550","2700","31.48"
"Ahmedabad","2024-09-01 00:00:00+05:45","2650","3550","-25.35"
"Bangalore","2023-01-01 00:00:00+05:45","36890",NULL,NULL
"Bangalore","2023-02-01 00:00:00+05:45","24750","36890","-32.91"
"Bangalore","2023-03-01 00:00:00+05:45","26120","24750","5.54"
"Bangalore","2023-04-01 00:00:00+05:45","23520","26120","-9.95"
"Bangalore","2023-05-01 00:00:00+05:45","37790","23520","60.67"
"Bangalore","2023-06-01 00:00:00+05:45","37790","37790","0.00"
"Bangalore","2023-07-01 00:00:00+05:45","33120","37790","-12.36"
"Bangalore","2023-08-01 00:00:00+05:45","31050","33120","-6.25"
"Bangalore","2023-09-01 00:00:00+05:45","71700","31050","130.92"
"Bangalore","2023-10-01 00:00:00+05:45","102050","71700","42.33"
"Bangalore","2023-11-01 00:00:00+05:45","106100","102050","3.97"
"Bangalore","2023-12-01 00:00:00+05:45","62630","106100","-40.97"
"Bangalore","2024-01-01 00:00:00+05:45","48850","62630","-22.00"
"Bangalore","2024-02-01 00:00:00+05:45","60650","48850","24.16"
"Bangalore","2024-03-01 00:00:00+05:45","57500","60650","-5.19"
"Bangalore","2024-04-01 00:00:00+05:45","12900","57500","-77.57"
"Bangalore","2024-05-01 00:00:00+05:45","17850","12900","38.37"
"Bangalore","2024-06-01 00:00:00+05:45","16600","17850","-7.00"
"Bangalore","2024-07-01 00:00:00+05:45","15300","16600","-7.83"
"Bangalore","2024-08-01 00:00:00+05:45","13450","15300","-12.09"
"Bangalore","2024-09-01 00:00:00+05:45","23500","13450","74.72"
"Chennai","2023-01-01 00:00:00+05:45","33340",NULL,NULL
"Chennai","2023-02-01 00:00:00+05:45","34140","33340","2.40"
"Chennai","2023-03-01 00:00:00+05:45","30050","34140","-11.98"
"Chennai","2023-04-01 00:00:00+05:45","37520","30050","24.86"
"Chennai","2023-05-01 00:00:00+05:45","39270","37520","4.66"
"Chennai","2023-06-01 00:00:00+05:45","28960","39270","-26.25"
"Chennai","2023-07-01 00:00:00+05:45","38190","28960","31.87"
"Chennai","2023-08-01 00:00:00+05:45","27850","38190","-27.08"
