"country","genre","purchases","rank"
"Argentina","Alternative & Punk","17","1"
"Argentina","Rock","11","2"
"Argentina","Metal","2","3"
"Argentina","Blues","2","3"
"Argentina","Latin","2","3"
"Argentina","R&B/Soul","2","3"
"Argentina","Easy Listening","1","4"
"Argentina","Heavy Metal","1","4"
"Argentina","Alternative","1","4"
"Argentina","Reggae","1","4"
"Australia","Rock","34","1"
"Australia","Alternative & Punk","22","2"
"Australia","Metal","14","3"
"Australia","Classical","2","4"
"Australia","Easy Listening","2","4"
"Australia","R&B/Soul","2","4"
"Australia","Latin","2","4"
"Australia","Pop","1","5"
"Australia","Blues","1","5"
"Australia","Alternative","1","5"
"Australia","Reggae","1","5"
"Austria","Rock","40","1"
"Austria","Jazz","15","2"
"Austria","Metal","7","3"
"Austria","Alternative & Punk","3","4"
"Austria","Alternative","2","5"
"Austria","Latin","1","6"
"Austria","R&B/Soul","1","6"
"Austria","Heavy Metal","1","6"
"Belgium","Rock","26","1"
"Belgium","Metal","19","2"
"Belgium","Alternative & Punk","7","3"
"Belgium","Latin","2","4"
"Belgium","Pop","2","4"
"Belgium","Jazz","1","5"
"Belgium","Electronica/Dance","1","5"
"Belgium","R&B/Soul","1","5"
"Belgium","Alternative","1","5"
"Belgium","Classical","1","5"
"Brazil","Rock","205","1"
"Brazil","Alternative & Punk","74","2"
"Brazil","Metal","73","3"
"Brazil","Jazz","20","4"
"Brazil","Electronica/Dance","14","5"
"Brazil","Latin","13","6"
"Brazil","R&B/Soul","10","7"
"Brazil","Classical","7","8"
"Brazil","Easy Listening","5","9"
"Brazil","Pop","4","10"
"Brazil","Alternative","3","11"
"Brazil","Blues","3","11"
"Brazil","Reggae","1","12"
"Canada","Rock","333","1"
"Canada","Metal","72","2"
"Canada","Alternative & Punk","31","3"
"Canada","R&B/Soul","29","4"
"Canada","Alternative","22","5"
"Canada","Blues","14","6"
"Canada","Latin","13","7"
"Canada","Jazz","7","8"
"Canada","Easy Listening","5","9"
"Canada","Reggae","4","10"
"Canada","Pop","3","11"
"Canada","Classical","3","11"
"Canada","Electronica/Dance","2","12"
"Canada","Hip Hop/Rap","2","12"
"Canada","Soundtrack","1","13"
"Chile","Rock","61","1"
"Chile","Metal","11","2"
"Chile","Alternative & Punk","8","3"
"Chile","Latin","4","4"
"Chile","R&B/Soul","4","4"
"Chile","Alternative","3","5"
"Chile","Jazz","2","6"
"Chile","Blues","2","6"
"Chile","Classical","1","7"
"Chile","Easy Listening","1","7"
"Chile","Reggae","1","7"
"Czech Republic","Rock","143","1"
"Czech Republic","Alternative & Punk","42","2"
"Czech Republic","Metal","23","3"
"Czech Republic","Latin","21","4"
"Czech Republic","Blues","18","5"
"Czech Republic","Alternative","10","6"
"Czech Republic","R&B/Soul","5","7"
"Czech Republic","Easy Listening","3","8"
"Czech Republic","Classical","3","8"
"Czech Republic","Jazz","3","8"
"Czech Republic","Pop","2","9"
"Czech Republic","Hip Hop/Rap","1","10"
"Czech Republic","Reggae","1","10"
"Czech Republic","Electronica/Dance","1","10"
"Denmark","Rock","24","1"
"Denmark","Metal","5","2"
"Denmark","Jazz","4","3"
"Denmark","Alternative & Punk","2","4"
"Denmark","Electronica/Dance","2","4"
"Denmark","Reggae","1","5"
"Finland","Rock","46","1"
"Finland","Metal","10","2"
"Finland","Alternative & Punk","6","3"
"Finland","Reggae","3","4"
"Finland","Hip Hop/Rap","2","5"
"Finland","Alternative","2","5"
"Finland","Classical","2","5"
"Finland","R&B/Soul","2","5"
"Finland","Latin","2","5"
"Finland","Jazz","2","5"
"Finland","Soundtrack","1","6"
"Finland","Electronica/Dance","1","6"
"Finland","Easy Listening","1","6"
"France","Rock","211","1"
"France","Metal","54","2"
"France","Easy Listening","29","3"
"France","Latin","27","4"
"France","Alternative & Punk","24","5"
"France","Blues","10","6"
"France","Reggae","8","7"
"France","R&B/Soul","8","7"
"France","Alternative","7","8"
"France","Pop","5","9"
"France","Jazz","4","10"
"France","Classical","2","11"
"France","Hip Hop/Rap","2","11"
"France","Electronica/Dance","2","11"
"Germany","Rock","194","1"
"Germany","Metal","44","2"
"Germany","Jazz","18","3"
"Germany","Alternative & Punk","18","3"
"Germany","Pop","15","4"
"Germany","R&B/Soul","11","5"
"Germany","Latin","8","6"
"Germany","Blues","8","6"
"Germany","Alternative","7","7"
"Germany","Electronica/Dance","4","8"
"Germany","Easy Listening","4","8"
"Germany","Classical","4","8"
"Germany","Hip Hop/Rap","2","9"
"Germany","Reggae","1","10"
"Hungary","Rock","44","1"
"Hungary","Metal","19","2"
"Hungary","Alternative & Punk","8","3"
"Hungary","Classical","1","4"
"Hungary","Alternative","1","4"
"Hungary","Reggae","1","4"
"Hungary","Latin","1","4"
"Hungary","Easy Listening","1","4"
"Hungary","Electronica/Dance","1","4"
"Hungary","Heavy Metal","1","4"
"Hungary","Drama","1","4"
"India","Rock","102","1"
"India","Alternative & Punk","25","2"
"India","Metal","22","3"
"India","Electronica/Dance","19","4"
"India","Latin","6","5"
"India","R&B/Soul","3","6"
"India","Alternative","3","6"
"India","Classical","2","7"
"India","Jazz","2","7"
"India","Hip Hop/Rap","1","8"
"Ireland","Rock","72","1"
"Ireland","Latin","20","2"
"Ireland","Alternative & Punk","7","3"
"Ireland","Metal","6","4"
"Ireland","R&B/Soul","4","5"
"Ireland","Classical","1","6"
"Ireland","TV Shows","1","6"
"Ireland","Alternative","1","6"
"Ireland","Hip Hop/Rap","1","6"
"Ireland","Blues","1","6"
"Ireland","Reggae","1","6"
"Ireland","Pop","1","6"
"Italy","Rock","35","1"
"Italy","Alternative & Punk","5","2"
"Italy","Metal","4","3"
"Italy","R&B/Soul","1","4"
"Italy","Pop","1","4"
"Italy","Jazz","1","4"
"Italy","Latin","1","4"
"Italy","Blues","1","4"
"Italy","Easy Listening","1","4"
"Italy","Alternative","1","4"
"Netherlands","Rock","33","1"
"Netherlands","R&B/Soul","12","2"
"Netherlands","Alternative & Punk","5","3"
"Netherlands","Metal","5","3"
"Netherlands","Blues","4","4"
"Netherlands","Easy Listening","2","5"
"Netherlands","Alternative","1","6"
"Netherlands","Classical","1","6"
"Netherlands","Electronica/Dance","1","6"
"Netherlands","Jazz","1","6"
"Netherlands","Pop","1","6"
"Norway","Rock","40","1"
"Norway","Metal","17","2"
"Norway","Alternative & Punk","10","3"
"Norway","Alternative","1","4"
"Norway","Electronica/Dance","1","4"
"Norway","Blues","1","4"
"Norway","Latin","1","4"
"Norway","Pop","1","4"
"Norway","Jazz","1","4"
"Poland","Rock","40","1"
"Poland","Blues","13","2"
"Poland","Metal","9","3"
"Poland","Alternative & Punk","4","4"
"Poland","Alternative","3","5"
"Poland","Jazz","3","5"
"Poland","Classical","2","6"
"Poland","Pop","2","6"
"Poland","Latin","1","7"
"Portugal","Rock","108","1"
"Portugal","Metal","28","2"
"Portugal","Alternative & Punk","13","3"
"Portugal","Blues","9","4"
"Portugal","R&B/Soul","6","5"
"Portugal","Latin","6","5"
"Portugal","Alternative","4","6"
"Portugal","Jazz","4","6"
"Portugal","Easy Listening","2","7"
"Portugal","Classical","2","7"
"Portugal","Pop","2","7"
"Portugal","Heavy Metal","1","8"
"Portugal","Hip Hop/Rap","1","8"
"Portugal","Reggae","1","8"
"Spain","Rock","46","1"
"Spain","Jazz","16","2"
"Spain","Metal","13","3"
"Spain","Alternative & Punk","5","4"
"Spain","Latin","5","4"
"Spain","Easy Listening","4","5"
"Spain","R&B/Soul","3","6"
"Spain","Alternative","3","6"
"Spain","Classical","2","7"
"Spain","Reggae","1","8"
"Spain","Hip Hop/Rap","1","8"
"Sweden","Rock","60","1"
"Sweden","Metal","7","2"
"Sweden","Latin","2","3"
"Sweden","Alternative & Punk","2","3"
"Sweden","Classical","1","4"
"Sweden","Soundtrack","1","4"
"Sweden","Alternative","1","4"
"Sweden","Reggae","1","4"
"Sweden","Blues","1","4"
"United Kingdom","Rock","166","1"
"United Kingdom","Metal","31","2"
"United Kingdom","Alternative & Punk","24","3"
"United Kingdom","Latin","7","4"
"United Kingdom","Classical","6","5"
"United Kingdom","Alternative","4","6"
"United Kingdom","Jazz","3","7"
"United Kingdom","R&B/Soul","2","8"
"United Kingdom","Reggae","2","8"
"United Kingdom","Heavy Metal","1","9"
"United Kingdom","Pop","1","9"
"United Kingdom","Electronica/Dance","1","9"
"USA","Rock","561","1"
"USA","Alternative & Punk","130","2"
"USA","Metal","124","3"
"USA","R&B/Soul","53","4"
"USA","Blues","36","5"
"USA","Alternative","35","6"
"USA","Latin","22","7"
"USA","Pop","22","7"
"USA","Hip Hop/Rap","20","8"
"USA","Jazz","14","9"
"USA","Easy Listening","13","10"
"USA","Reggae","6","11"
"USA","Electronica/Dance","5","12"
"USA","Classical","4","13"
"USA","Heavy Metal","3","14"
"USA","Soundtrack","2","15"
"USA","TV Shows","1","16"
